"Side","Type","Time Start","Time End","X Pos.","Y Pos.","Placed By","Dewarded?","Dewarded By"
"Dire","Observer","-0.77","6.23","164","92","Dazzle","No",""
"Dire","Sentry","-0.72","3.28","156","93","Dazzle","No",""
"Radiant","Observer","-0.48","6.52","94","163","Keeper of the Light","No",""
"Dire","Observer","-0.38","6.62","147","118","Dazzle","No",""
"Radiant","Observer","-0.11","6.89","140","106","Puck","No",""
"Dire","Sentry","7.42","11.42","101","171","Enigma","No",""
"Radiant","Sentry","8.51","12.51","84","160","Keeper of the Light","No",""
"Radiant","Observer","9.34","16.35","182","103","Puck","No",""
"Dire","Observer","10.68","17.68","77","143","Dazzle","No",""
"Radiant","Sentry","10.94","14.94","83","133","Keeper of the Light","No",""
"Radiant","Observer","11.29","11.40","101","165","Keeper of the Light","Yes","Enigma"
"Dire","Observer","12.10","16.94","146","118","Dazzle","Yes","Morphling"
"Dire","Observer","12.19","19.19","127","130","Dazzle","No",""
"Radiant","Observer","12.57","19.57","137","114","Keeper of the Light","No",""
"Radiant","Observer","13.17","15.28","123","163","Keeper of the Light","Yes","Dazzle"
"Dire","Observer","13.48","20.49","109","165","Dazzle","No",""
"Dire","Sentry","15.17","19.17","118","164","Dazzle","No",""
"Radiant","Sentry","16.89","20.89","150","114","Keeper of the Light","No",""
"Dire","Sentry","17.54","21.54","130","150","Dazzle","No",""
"Radiant","Sentry","19.19","23.19","126","123","Keeper of the Light","No",""
"Radiant","Observer","19.66","26.64","157","129","Keeper of the Light","No",""
"Radiant","Observer","20.43","21.00","129","150","Keeper of the Light","Yes","Dazzle"
"Dire","Observer","21.97","25.18","140","87","Dazzle","Yes","Puck"
"Dire","Observer","23.84","24.66","119","137","Dazzle","Yes","Puck"
"Dire","Observer","25.58","28.25","155","112","Dazzle","Yes","Puck"
"Radiant","Observer","25.58","31.74","110","147","Keeper of the Light","No",""
"Radiant","Observer","26.86","29.58","160","123","Keeper of the Light","Yes","Dazzle"
"Dire","Observer","28.38","30.15","164","123","Dazzle","Yes","Puck"
"Dire","Observer","29.41","29.78","141","121","Dazzle","Yes","Morphling"
"Radiant","Observer","30.31","31.74","136","132","Keeper of the Light","No",""
"Dire","Observer","30.43","31.74","135","164","Dazzle","No",""
"Radiant","Observer","30.95","31.74","154","163","Keeper of the Light","No",""
